,id,pos,dist,angle,pitch-roll
3,[5],"(272, 190, 105, 104)",0.3766707035872246,168.21548256208408,"(0.005447266771093974, 0.02351878874365481)"
0,[5],"(274, 192, 101, 100)",0.3545783082948181,162.51341251258552,"(0.000903215669536853, 0.04617330055717122)"
1,[5],"(274, 192, 101, 100)",0.3578810838751367,166.12354946650152,"(-0.037193657114584305, 0.03241013606902977)"
2,[5],"(272, 189, 106, 105)",0.3643351031439328,165.91214571575603,"(-0.03675380903772379, 0.03293595445508071)"
3,[5],"(272, 190, 106, 104)",0.36990816063743437,165.24958651277237,"(-0.01893445181235262, 0.028888894540797464)"
0,[5],"(274, 192, 102, 100)",0.37254295042164187,-173.9799236546027,"(-0.173831090173444, -0.043993477291040535)"
1,[5],"(274, 192, 101, 100)",0.3750618977860302,175.11910189121323,"(-0.08103017510474021, -0.012720732433778857)"
2,[5],"(272, 189, 106, 105)",0.34902195974946787,-173.9582284990517,"(-0.19187437486395348, 0.005703595948905369)"
3,[5],"(272, 190, 105, 104)",0.4072596152626961,-176.42349355682848,"(-0.12788826206047535, 0.004012953735437027)"
0,[5],"(274, 192, 101, 100)",0.3424481834967749,-177.96520361115932,"(-0.18645334247353532, 0.02095594021238728)"
1,[5],"(274, 192, 101, 100)",0.358941906060371,165.68812700355184,"(-0.05415614716319298, 0.039088038041919036)"
2,[5],"(272, 190, 106, 104)",0.36547868049092425,165.5341333795402,"(-0.05456604318758023, 0.03981063879190891)"
3,[5],"(272, 190, 106, 104)",0.4080191230056762,-179.71806697538142,"(-0.14879404838492624, 0.010353267648404196)"
0,[5],"(274, 192, 102, 100)",0.43097228354277284,-177.78110948899064,"(-0.15177747553449603, 0.010999942846748361)"
1,[5],"(274, 192, 101, 100)",0.34325597099570393,-170.54337630257527,"(-0.016458725899118537, 0.026567855844617395)"
2,[5],"(271, 189, 107, 105)",0.3492113523258231,-170.38743318968451,"(-0.015573945780374307, 0.027106810621726266)"
3,[5],"(272, 189, 106, 105)",0.35537811731843233,-170.23135662389348,"(-0.014664528463325036, 0.027667843782322735)"
0,[5],"(274, 192, 101, 100)",0.41498697083289005,167.7496619570697,"(-0.20660178132170073, 0.04104860272621748)"
1,[5],"(274, 192, 101, 100)",0.4163395347349718,-177.3162189737297,"(-0.1763112463428465, 0.025274932721586534)"
2,[5],"(271, 189, 107, 105)",0.3526034687565294,-178.0310706793238,"(-0.06748847966654586, 0.027695583142316738)"
3,[5],"(272, 190, 106, 104)",0.35892666092346837,-178.008971414558,"(-0.06815727950378464, 0.02818805179456648)"
0,[5],"(274, 192, 101, 100)",0.41498697083289005,167.7496619570697,"(-0.20660178132170073, 0.04104860272621748)"
1,[5],"(274, 192, 101, 100)",0.41742811150234366,-177.89327987797077,"(-0.14884686515576911, 0.021266772053193123)"
2,[5],"(272, 189, 106, 105)",0.3471233575493018,-179.105213217492,"(-0.2537497986781201, 0.01885626277679677)"
3,[5],"(272, 190, 105, 104)",0.35322229307969294,-179.1340011371431,"(-0.2563771236801826, 0.019268960589105856)"
0,[5],"(275, 193, 101, 98)",0.43169441562945127,-178.1922512943752,"(-0.1950336453296397, 0.011071672649316244)"
1,[5],"(274, 193, 101, 99)",0.34127143893546086,179.56019071108258,"(-0.26507325830822953, 0.023755934558686128)"
2,[5],"(272, 190, 106, 104)",0.34715704528621427,179.52862432362227,"(-0.26779694228968515, 0.024236828124590652)"
3,[5],"(272, 190, 105, 104)",0.4080191230056762,-179.71806697538142,"(-0.14879404838492624, 0.010353267648404196)"
0,[5],"(274, 192, 102, 100)",0.3384273614601184,-164.09091824711086,"(-0.033666081717174785, 0.016325658194976857)"
1,[5],"(274, 193, 101, 99)",0.4138115379755823,-178.21549858248957,"(-0.18927468485984733, 0.021126078085920586)"
2,[5],"(272, 190, 106, 104)",0.34418497379999063,-163.87554280300105,"(-0.032982494755346384, 0.016725462979284192)"
